Proband;pb1;pb1_2;pb2;pb3;pb3_2;pb4;pb5;pb5_2;pb7;pb7_2;pb8
query berfore ref (qbr);14922;20831;17591;24692;4886;1742;2334;10708;17406;16633;34366
max rbq;700;698;842;60;3244;1054;1340;896;396;1276;1024
max qbr;-2244;-5624;-2020;-3961;-430;-188;-92;-1312;-3228;-2816;-4066
max distance;179.70239117861976;179.87839604153456;179.97760428671347;179.2109701430034;179.9897768213696;178.59135670314419;179.103130010039;179.9100086945134;179.41802000887466;179.9281895301229;179.6548603513256
min distane;4.902902142390104e-06;7.543569142488714e-05;0.0011245304170005395;0.00012250563730635018;0.0003831076591537265;1.6130761549807201e-06;0.00019423491183642939;0.00042053964073385415;0.0006062875618143899;0.00030756358707093365;1.0211326376894861e-05
Alias_Distance;Spot6_euklid;Spot6_euklid;Spot6_euklid;Spot6_euklid;Spot6_euklid;Spot6_euklid;Spot6_euklid;Spot6_euklid;Spot6_euklid;Spot6_euklid;Spot6_euklid
distance;2408800.027211803;2023691.0861415502;4625164.934358764;1837122.5993960379;1509490.6505715835;2365273.8377673333;1855759.9924172773;1869155.1683360355;1518520.7090473508;1695171.3047492001;3372156.2825050666
mean_distance;197.71813405662013;166.10778019712305;189.82044382987624;150.79394232915027;123.90139132985172;97.07271762978466;152.32372916500677;153.42322649068666;124.6425928792047;139.14235448979727;138.35054904837395
zero-overhead-counter;787;399;229;574;419;1411;608;603;723;245;1388
ref before query (rbq);9792;12050;14367;1709;7990;22962;13986;5367;7338;7572;17530
query berfore ref (qbr);4549;4463;19087;14123;7446;6808;1872;10329;7147;7522;11924
max rbq;904;893;1285;364;648;690;1871;596;778;613;654
max qbr;-708;-764;-2163;-2118;-1238;-371;-369;-986;-786;-500;-3177
max distance;561.6511123892791;461.69700190932116;615.0430115593557;493.7681405041864;478.32995617444436;425.80450209349823;496.294661710005;482.2607352870316;411.28721215466396;451.6271795772695;867.6960508390662
min distane;0.39150954159066503;0.3731422032394673;0.8749441073463448;1.492644017031909;0.39082423349105894;0.19946034942781146;0.8085289702538698;0.337361985238877;0.7268767279225414;0.4303784082672375;0.7918709127547008
Alias_Distance;Spot6_winkel;Spot6_winkel;Spot6_winkel;Spot6_winkel;Spot6_winkel;Spot6_winkel;Spot6_winkel;Spot6_winkel;Spot6_winkel;Spot6_winkel;Spot6_winkel
distance;928836.3555167073;722287.6128390076;1210361.2283125336;469773.71166262287;513257.36511029094;687872.1721710173;569208.4638166048;452734.63025785884;462140.9903016719;596337.9446719682;830055.201614913
mean_distance;76.24036407425982;59.28651504875709;49.67418650219706;38.55977277046892;42.12898014530829;28.230820494583323;46.72153523898915;37.16117789196904;37.93326687200787;48.94836613904361;34.0549438588214
zero-overhead-counter;1302;624;234;652;417;496;44;230;981;818;1820
ref before query (rbq);15113;8566;8948;6695;5432;18431;8008;6129;3349;3922;13823
query berfore ref (qbr);646;8356;27158;8039;11138;13758;8805;10979;12186;11617;17247
max rbq;1525;1399;1101;827;660;764;406;534;183;313;604
max qbr;-116;-927;-6236;-484;-2071;-1043;-1698;-1276;-1435;-1377;-3177
max distance;179.96366153563488;178.81245874339822;179.96744316440373;179.05508592224297;179.5786907902538;179.09896206226887;176.56639462715256;178.95509691285415;179.94672300366634;177.5483604445217;179.9945191445
min distane;0.00042823195865568505;2.991864554309662e-05;0.0019450177947120608;0.000628611683715913;3.4952621358355786e-05;0.00033556345592739565;6.0816017410362806e-05;0.0024540889946946683;0.002840150122515906;0.0012237802153456186;0.00039060027680167897
Alias_Distance;Spot6_winkellog;Spot6_winkellog;Spot6_winkellog;Spot6_winkellog;Spot6_winkellog;Spot6_winkellog;Spot6_winkellog;Spot6_winkellog;Spot6_winkellog;Spot6_winkellog;Spot6_winkellog
distance;824630.0354473281;790918.0731112472;1320220.9246098069;430401.6958479273;400523.0090695728;639351.2913303722;588434.2149696351;414649.8479253091;429586.8324252573;552741.1253394599;868298.7486007721
mean_distance;67.68694372874728;64.91981228853707;54.18291572723495;35.328055146345505;32.875565055370004;26.239484992627933;48.299615445262674;34.03511843760232;35.26116986171364;45.36986992854468;35.62397425948848
zero-overhead-counter;579;212;234;648;221;1553;37;236;987;828;1784
ref before query (rbq);16591;12116;8966;4890;5431;21865;0;7232;4575;7004;18739
query berfore ref (qbr);0;6534;27801;10109;10671;9090;17841;9689;11505;8909;13689
max rbq;1524;2554;1098;827;660;2679;0;534;260;613;3195
max qbr;0;-944;-6236;-977;-1334;-1043;-3256;-1276;-1435;-1020;-3177
max distance;179.5628381416868;178.8124430146604;179.75494397944618;179.00317732674614;179.57869076318002;178.3717966141116;179.54218849417109;179.2622951553038;179.75818958469276;177.0830039249978;179.99451914449978
min distane;1.654021646094883e-05;2.991864554271808e-05;7.371115791437076e-05;1.7098254661742304e-05;5.194939852570995e-06;1.0882353699514022e-05;1.4888471585075105e-05;9.754395322178612e-05;5.508790721710103e-06;0.00020094866046829177;1.4828325878669248e-06
Alias_Distance;Spot7_euklid;Spot7_euklid;Spot7_euklid;Spot7_euklid;Spot7_euklid;Spot7_euklid;Spot7_euklid;Spot7_euklid;Spot7_euklid;Spot7_euklid;Spot7_euklid
